cidade,lat,lon,regiao
Divisópolis,-15.7254,-40.9997,Jequitinhonha
Dom Bosco,-16.652,-46.2597,Noroeste de Minas
Dom Cavati,-19.3735,-42.1121,Vale do Rio Doce
Dom Joaquim,-18.961,-43.2544,Metropolitana de Belo Horizonte
Dom Silvério,-20.1627,-42.9627,Zona da Mata
Dom Viçoso,-22.2511,-45.1643,Sul/Sudoeste de Minas
Dona Eusébia,-21.319,-42.807,
Dores de Campos,-21.1139,-44.0207,Campo das Vertentes
Dores de Guanhães,-19.0516,-42.9254,Vale do Rio Doce
Dores do Indaiá,-19.4628,-45.5927,Central Mineira
Dores do Turvo,-20.9785,-43.1834,Zona da Mata
Doresópolis,-20.2868,-45.9007,Oeste de Minas
Douradoquara,-18.4338,-47.5993,Triângulo Mineiro/Alto Paranaíba
Durandé,-20.2058,-41.7977,Zona da Mata
Elói Mendes,-21.6088,-45.5691,Sul/Sudoeste de Minas
Engenheiro Caldas,-19.2065,-42.0503,Vale do Rio Doce
Engenheiro Navarro,-17.2831,-43.947,Norte de Minas
Entre Folhas,-19.6218,-42.2306,Vale do Rio Doce
Entre Rios de Minas,-20.6706,-44.0654,Metropolitana de Belo Horizonte
Ervália,-20.8403,-42.6544,Zona da Mata
Esmeraldas,-19.764,-44.3065,Metropolitana de Belo Horizonte
Espera Feliz,-20.6508,-41.9119,Zona da Mata
Espinosa,-14.9249,-42.809,Norte de Minas
Espírito Santo do Dourado,-22.0454,-45.9548,Sul/Sudoeste de Minas
Estiva,-22.4577,-46.0191,Sul/Sudoeste de Minas
Estrela Dalva,-21.7412,-42.4574,Zona da Mata
Estrela do Indaiá,-19.5169,-45.7859,Central Mineira
Estrela do Sul,-18.7399,-47.6956,Triângulo Mineiro/Alto Paranaíba
Eugenópolis,-21.1002,-42.1878,Zona da Mata
Ewbank da Câmara,-21.5498,-43.5068,Zona da Mata
Extrema,-22.854,-46.3178,Sul/Sudoeste de Minas
Fama,-21.4089,-45.8286,Sul/Sudoeste de Minas
Faria Lemos,-20.8097,-42.0213,Zona da Mata
Felício dos Santos,-18.0755,-43.2422,Jequitinhonha
Felisburgo,-16.6348,-40.7605,Jequitinhonha
Felixlândia,-18.7507,-44.9004,Central Mineira
Fernandes Tourinho,-19.1541,-42.0803,Vale do Rio Doce
Ferros,-19.2343,-43.0192,Metropolitana de Belo Horizonte
Fervedouro,-20.726,-42.279,Zona da Mata
Florestal,-19.888,-44.4318,Metropolitana de Belo Horizonte
Formiga,-20.4618,-45.4268,Oeste de Minas
Formoso,-14.9446,-46.2371,Noroeste de Minas
